humidity,time
899,Tue Jul  8 15:53:26 2024
899,Tue Jul  8 15:53:32 2024
899,Tue Jul  8 15:53:37 2024
899,Tue Jul  8 15:53:43 2024
899,Tue Jul  9 15:53:49 2024
899,Tue Jul  9 15:54:53 2024
898,Tue Jul  9 15:54:59 2024
899,Tue Jul  9 15:55:04 2024
899,Tue Jul  9 15:55:10 2024
899,Tue Jul  10 15:55:16 2024
899,Tue Jul  10 15:55:21 2024
899,Tue Jul  10 15:55:27 2024
897,Wed Jul 10 12:32:39 2024
897,Wed Jul 10 12:32:45 2024
897,Wed Jul 10 12:32:51 2024
897,Wed Jul 10 12:43:57 2024
898,Wed Jul 10 12:44:02 2024
898,Wed Jul 10 12:44:18 2024
898,Wed Jul 10 12:44:24 2024
898,Wed Jul 10 12:44:43 2024
898,Wed Jul 10 12:45:10 2024
897,Wed Jul 10 12:45:16 2024
898,Wed Jul 10 12:46:44 2024
898,Wed Jul 10 12:46:49 2024
897,Wed Jul 10 12:46:55 2024
898,Wed Jul 10 12:47:01 2024
898,Wed Jul 10 12:47:06 2024
897,Wed Jul 10 12:47:12 2024
898,Wed Jul 10 12:47:18 2024
898,Wed Jul 10 12:47:24 2024
894,Thu Jul 11 15:03:01 2024
894,Thu Jul 11 15:03:06 2024
893,Thu Jul 11 15:03:12 2024
893,Thu Jul 11 15:03:18 2024
893,Thu Jul 11 15:03:23 2024
893,Thu Jul 11 15:03:29 2024
893,Thu Jul 11 15:03:35 2024
850,Thu Jul 11 15:03:40 2024
776,Thu Jul 11 15:03:46 2024
894,Thu Jul 11 15:03:52 2024
691,Thu Jul 11 15:03:58 2024
717,Thu Jul 11 15:04:03 2024
892,Thu Jul 11 15:04:09 2024
892,Thu Jul 11 15:04:15 2024
893,Thu Jul 11 15:04:20 2024
892,Thu Jul 11 15:04:26 2024
892,Thu Jul 11 15:04:32 2024
893,Thu Jul 11 15:04:37 2024
892,Thu Jul 11 15:04:43 2024
